,content,date,event,geo,language,sentiment,source,targets,uri
26,"RT @NicholasNConrad: @Apple @Apple's future, meet @Android's past. Thanks for the trip down #MemoryLane #AppleEvent https://t.co/zg6lSQzzGQ",2017-09-13 07:00:14,Other,,en,0.0,twitter,"[{'sentiment': 0, 'label': 'trip'}]",https://twitter.com/undefined/status/907861464052109312
27,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:13,Other,Illinois,en,0.0,twitter,[],https://twitter.com/undefined/status/907861456019890176
28,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:12,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861453339738112
29,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:11,Other,Dallas,en,0.0,twitter,[],https://twitter.com/undefined/status/907861448776286208
30,RT @FIawlessMakeup: MORPHE IS COMING TO ULTA. COLOURPOP IS COMING TO SEPHORA. FENTY BEAUTY JUST DROPPED. IT'S A GREAT YEAR FOR MAKEUP,2017-09-13 07:00:11,Other,*parody account*,en,0.0,twitter,"[{'sentiment': 0, 'label': 'ulta'}]",https://twitter.com/undefined/status/907861451536134144
31,We're committed to supporting the 125 million individuals affected by #psoriasis worldwide. #EADVgen https://t.co/rczqgsSEgr,2017-09-13 07:00:10,Other,Global,en,0.0,twitter,[],https://twitter.com/undefined/status/907861444737282048
32,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:09,Other,"American Fork, Utah, USA",en,0.0,twitter,[],https://twitter.com/undefined/status/907861439427366912
33,Garden Gnome Sex Party by Fannie Tucker https://t.co/eI8gPBNHyF via @amazon,2017-09-13 07:00:07,Other,,es,0.0,twitter,[],https://twitter.com/undefined/status/907861432313815041
34,RT @markterry: [Download] SAP Digital Transformation Study - 4 Ways Leaders Set Themsleves Apart https://t.co/nKFaN9zTt3 https://t.co/opqmH…,2017-09-13 07:00:07,Other,Hampshire,en,0.0,twitter,[],https://twitter.com/undefined/status/907861432770985984
35,@SkyNews Never worth £999 that @Apple are asking for. #ripoff,2017-09-13 07:00:05,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861426160709632
36,$CHK $3.74 (+3.03%) being heavily traded.  Our #sentiment analysis tool gives you a pulse on the #market.  https://t.co/GvMdw1aUkZ,2017-09-13 07:00:05,Other,"New York, NY",en,0.305,twitter,"[{'sentiment': 0, 'label': 'pulse'}, {'sentiment': 0.305, 'label': 'plse'}]",https://twitter.com/undefined/status/907861424738902016
37,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:05,Other,"Lincoln, Nebraska",en,0.0,twitter,[],https://twitter.com/undefined/status/907861426198413312
38,#MustSee keynote on #AI &amp; #marketing from MediaMath CEO Joe Zawadzki &amp; @rwlord from @IBM - 10am today at #dmexco:… https://t.co/9Q8AYl5t8W,2017-09-13 07:00:05,Other,"NYC, DC, LA, SF, MA ,UK, EARTH",en,0.0,twitter,[],https://twitter.com/undefined/status/907861425330294784
39,Big news coming regarding #SAPBigData and you're invited to join via livestream on September 25:… https://t.co/k5yL2A2UjV,2017-09-13 07:00:04,Other,Global,en,0.0,twitter,"[{'sentiment': 0, 'label': 'news'}]",https://twitter.com/undefined/status/907861419445686274
40,"Check out our infographic on some of the key statistics surrounding #ACS throughout its 20-year history. 

|… https://t.co/N9kwAKdMEr",2017-09-13 07:00:04,Other,London,en,0.0,twitter,[],https://twitter.com/undefined/status/907861418762006528
41,@SigepMike @ohsorandom8706 @Aldinho_lbk @Apple Cant afford it right now but i plan to later when price drops a litt… https://t.co/FiyTTCAgQ7,2017-09-13 07:00:04,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861420930342913
42,I see @Apple launched a me-too version of @venmo yesterday along with its me-too version of @samsung #GalaxyNote8..… https://t.co/WeE0GvYDYt,2017-09-13 07:00:03,Other,"London, UK",en,0.0,twitter,[],https://twitter.com/undefined/status/907861414035038209
43,"Secure a training program for unemployed talents in Oman on cutting-edge SAP technologies, and shape your career!… https://t.co/94KfEunTtw",2017-09-13 07:00:03,Other,Middle East & North Africa,en,0.0,twitter,[],https://twitter.com/undefined/status/907861417054765056
44,"@Apple @StacyRHagan The price you are selling the iPhone x for is the same price as your base model computer ,how c… https://t.co/cvbWSlgSm8",2017-09-13 07:00:03,Other,"Nelson, Nelson City",en,0.0,twitter,"[{'sentiment': 0, 'label': 'c'}]",https://twitter.com/undefined/status/907861416140464128
45,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:03,Other,,en,0.0,twitter,[],https://twitter.com/undefined/status/907861417696612352
46,"#ICYMI: All highlights from @Apple's mega event. #iPhoneX #iPhone #AppleEvent #iPhone8Plus #iPhone8 
https://t.co/zhBVfqqwfO",2017-09-13 07:00:02,Other,"New Delhi, India",en,0.0,twitter,[],https://twitter.com/undefined/status/907861411489087488
47,"#SAP has announced that ZF Friedrichshafen AG will implement a suite of SAP #cloud applications 
https://t.co/wj3Ez3RWk3",2017-09-13 07:00:02,Deal,Manchester,en,0.0,twitter,"[{'sentiment': 0, 'label': 'sap'}]",https://twitter.com/undefined/status/907861412889993216
48,"@Twitter  vs @facebook is like Iphone vs samsung.. Twitter always classy
#NotForEveryone",2017-09-13 07:00:02,Other,surendranagar,en,0.0,twitter,"[{'sentiment': 0, 'label': '6'}]",https://twitter.com/undefined/status/907861413560967168
49,".@Apple iPhone 8 Plus vs Apple iPhone 7 Plus: What's different? 
https://t.co/e7rbGzr1xJ #iPhone8 #iPhone7Plus https://t.co/ih4281SPfy",2017-09-13 07:00:02,Release,Mumbai,en,0.0,twitter,"[{'sentiment': 0, 'label': '1'}, {'sentiment': 0, 'label': '3'}]",https://twitter.com/undefined/status/907861413078675456
50,"What will @Google be able to do by 2050? Have a look at some of our predictions. #google #tech
https://t.co/sT68aaLRWW",2017-09-13 07:00:01,Other,"London, England",en,0.0,twitter,"[{'sentiment': 0, 'label': 'look'}]",https://twitter.com/undefined/status/907861406959026176
51,RT @ShujaRabbani: #Tabla - a North Indian percussion used on several tracks in #LipService. Download/stream it on @amazon here… ,2017-09-13 07:00:01,Other,#Thug town 918,en,0.0,twitter,[],https://twitter.com/undefined/status/907861409198944256
52,"#Pixel phones damaged by #HurricaneHarvey will be repaired for free by @uBreakiFix and @Google 

#StartupStories… https://t.co/UBsxlQnxfd",2017-09-13 07:00:01,Other,"Hyderabad, India",en,0.0,twitter,[],https://twitter.com/undefined/status/907861408661987328
